id,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
WQ,0,0,0,0,0,0,0,4,1,5,7,0,0,0,0,0,0,0,0,8,0,2,0,0,1,2,0,4,16,9,8,45,30,11,41,96,84,55,130,30
NI,1498,1703,2283,2557,2846,4557,3019,2977,3238,4124,3609,4747,5094,5676,8660,10488,11322,13693,17469,36165,51449,101641,98989,133602,145680,145739,118231,147101,85057,82106,279590,245364,345031,429397,462492,816114,1433176,1553923,1440660,231744
LT,154,219,133,565,938,463,567,1660,197,611,253,395,433,193,137,2016,587,825,1836,6847,1979,1716,1496,1988,2020,1064,743,1245,1509,1062,2308,1532,1623,1786,2092,10076,16910,15890,18892,2143
TZ,2593,1497,1368,1334,1694,1846,2108,2490,2054,2875,2170,2376,2500,3057,2912,4088,2779,7349,8219,11099,11029,16101,16904,11356,12591,11563,12992,15678,13447,21095,26426,22033,30412,27635,38897,42604,85513,117625,83865,8938
TO,232,299,232,236,309,448,826,653,383,315,326,468,1488,731,886,1158,482,801,2705,2051,7306,4246,2668,3940,3288,2457,7545,1951,3403,3300,5019,4716,4128,6411,6220,4424,7580,7760,11114,1413
BV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,5,0,3,4,10,0,3
CA,2142,3533,5631,5666,7764,7502,8342,7989,8745,7458,6325,6371,7356,5557,7186,9121,12618,17210,20312,20876,22719,23043,26678,24834,33167,21552,17733,54545,149822,302505,485858,417859,478135,629046,642415,900134,1300255,1530065,1436095,228900
BL,776,1235,1036,871,1460,1321,829,1350,1073,1285,1046,974,1125,758,767,1147,1508,3150,3842,2216,1873,4092,3227,3796,6102,4364,3446,7552,9204,19465,29086,12943,12596,13165,27490,16940,31297,23134,20922,2827
BY,139,115,32,81,144,224,283,311,579,1179,378,549,659,639,1746,3924,6527,14340,7117,6255,7002,11928,15056,11472,13718,11031,7280,8180,7865,7794,10170,7138,8651,5914,4851,9610,74120,47479,25560,1858
EZ,2974,2363,1810,2097,2852,3060,2526,2398,3456,3722,6702,6597,5972,6906,7481,8611,8752,12605,24544,24950,29416,30093,31971,24940,24375,17704,13271,12943,29355,30147,77218,31915,47109,40221,33896,63021,82324,79509,68168,10909
SW,1181,1344,2214,2320,2978,3097,2608,5176,3940,3808,3736,2312,2852,1924,2827,5244,4969,8047,9833,9086,9275,11225,17688,10228,12783,11940,8825,13162,27211,30650,70732,71198,69201,79032,66638,94373,159035,177937,151352,20398
KT,0,0,0,1,3,1,0,0,0,10,0,0,0,1,0,13,2,7,3,10,40,12,329,83,53,8,22,57,111,239,1429,2153,3108,2191,2112,2171,2358,856,565,63
SB,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,1,0,3,1,4,2,2,0,2,0,1,15,27,28,6,4,16,43,27,103,64,45,14
JQ,0,0,0,0,0,0,0,0,0,1,4,13,6,0,0,3,1,8,1,0,0,0,3,1,2,0,0,0,0,2,9,4,0,8,10,1,31,12,14,4
,56539,67043,75623,79790,91549,99101,123479,153366,168521,194683,180809,178839,212599,184834,206660,229159,166006,276151,390524,450711,512070,369673,400422,345543,425363,368876,287526,570848,1122150,1593258,2653179,2757689,3807008,4412579,4164175,5566440,7616714,8277916,7369921,1060958
CD,435,701,1600,1056,4373,2270,737,1758,4306,1217,1131,1325,560,952,715,950,743,816,1556,2980,3227,3006,3360,3482,4494,8143,4629,15109,21065,27334,17722,13763,14860,13699,21272,29614,70052,46581,39359,5816
CI,1026,922,977,1237,4027,4595,2807,3878,3645,3410,2243,2477,2897,1967,2350,2601,4668,7120,7312,13322,11796,11627,8200,4516,9176,9183,5118,8529,14151,22333,34472,47605,42624,40884,45535,54453,76277,70271,70727,19867
FJ,107,67,161,157,108,94,174,316,2821,843,368,371,474,385,211,580,599,876,1078,1037,2231,18517,5429,4554,3427,3952,3909,11575,27240,23825,40764,30114,39072,34719,40854,52819,60297,71403,64286,10389
